Unnamed: 0,City,No. Stations,Air Quality,Index Value,Prominent Pollutant,year,Date,Season,Temp,Humidity,WindSpeed
171432,Mumbai,19,Moderate,116,"PM10, PM2.5",2022,2022-02-08,Winter,23.6,73.1,19.9
171467,Mumbai,19,Moderate,103,"PM10, PM2.5",2022,2022-02-09,Winter,23.7,70.6,20.5
171491,Lucknow,6,Moderate,173,"PM10, PM2.5",2022,2022-02-09,Winter,16.2,90.3,22.1
171568,Delhi,37,Poor,227,"PM10, PM2.5",2022,2022-02-09,Winter,16.5,84.6,14.8
171588,Jaipur,2,Moderate,102,PM10,2022,2022-02-09,Winter,18.3,70.1,14.8
171632,Delhi,37,Moderate,172,"PM10, PM2.5",2022,2022-02-10,Winter,15.7,74.5,18.4
171642,Jaipur,3,Satisfactory,98,"PM10, PM2.5",2022,2022-02-10,Winter,16.4,68.0,13.0
171736,Lucknow,6,Satisfactory,78,"PM10, PM2.5",2022,2022-02-10,Winter,15.0,82.7,18.4
171764,Mumbai,18,Moderate,138,"PM10, PM2.5",2022,2022-02-10,Winter,25.0,55.3,19.3
171866,Jaipur,3,Moderate,149,"PM10, PM2.5",2022,2022-02-11,Winter,17.2,52.6,11.2
171875,Delhi,34,Moderate,184,"PM10, PM2.5",2022,2022-02-11,Winter,15.5,69.7,26.0
171898,Mumbai,17,Moderate,159,"PM10, PM2.5",2022,2022-02-11,Winter,27.1,42.6,22.3
171904,Lucknow,6,Moderate,106,"PM10, PM2.5",2022,2022-02-11,Winter,15.8,71.6,27.7
171949,Lucknow,6,Moderate,102,"NO2, PM10",2022,2022-02-12,Winter,15.7,71.6,18.4
171967,Jaipur,2,Moderate,130,"PM10, PM2.5",2022,2022-02-12,Winter,17.2,48.5,14.8
171977,Mumbai,17,Moderate,153,"O3, PM10, PM2.5",2022,2022-02-12,Winter,26.3,47.3,19.8
172004,Delhi,37,Moderate,191,"PM10, PM2.5",2022,2022-02-12,Winter,16.0,66.7,21.0
172092,Lucknow,6,Moderate,140,"PM10, PM2.5",2022,2022-02-13,Winter,16.0,70.3,7.6
172146,Delhi,36,Poor,253,"PM10, PM2.5",2022,2022-02-13,Winter,17.4,65.5,7.6
172173,Jaipur,3,Moderate,156,"PM10, PM2.5",2022,2022-02-13,Winter,18.1,46.3,11.2
172186,Mumbai,17,Moderate,174,"PM10, PM2.5",2022,2022-02-13,Winter,25.7,59.0,21.2
172301,Delhi,33,Poor,239,"PM10, PM2.5",2022,2022-02-14,Winter,17.9,64.6,10.9
172306,Lucknow,6,Poor,214,"O3, PM10, PM2.5",2022,2022-02-14,Winter,16.6,75.0,7.6
172319,Mumbai,18,Moderate,128,"PM10, PM2.5",2022,2022-02-14,Winter,26.1,50.6,19.0
172337,Jaipur,2,Satisfactory,90,PM10,2022,2022-02-14,Winter,18.6,44.6,13.0
172419,Jaipur,2,Satisfactory,82,PM10,2022,2022-02-15,Winter,19.8,42.9,11.2
172425,Delhi,37,Poor,221,"PM10, PM2.5",2022,2022-02-15,Winter,18.8,58.3,13.0
172439,Mumbai,18,Moderate,105,"PM10, PM2.5",2022,2022-02-15,Winter,24.5,61.7,19.6
172447,Lucknow,6,Poor,227,PM2.5,2022,2022-02-15,Winter,17.7,77.4,9.3
172572,Jaipur,3,Moderate,114,PM10,2022,2022-02-16,Winter,20.0,44.0,11.2
172603,Delhi,35,Poor,272,"PM10, PM2.5",2022,2022-02-16,Winter,18.1,68.5,10.1
172671,Lucknow,6,Moderate,147,"PM10, PM2.5",2022,2022-02-16,Winter,18.0,74.5,16.6
172699,Mumbai,17,Satisfactory,93,"CO, PM10, PM2.5",2022,2022-02-16,Winter,23.7,68.8,21.7
172714,Jaipur,3,Moderate,110,PM10,2022,2022-02-17,Winter,21.4,42.2,18.4
172751,Delhi,37,Poor,241,"PM10, PM2.5",2022,2022-02-17,Winter,18.4,66.4,8.6
172770,Lucknow,6,Moderate,144,"PM10, PM2.5",2022,2022-02-17,Winter,18.3,72.3,18.4
172814,Mumbai,18,Satisfactory,88,"CO, PM10",2022,2022-02-17,Winter,23.9,69.0,15.4
172870,Jaipur,2,Satisfactory,78,PM10,2022,2022-02-18,Winter,21.4,42.7,16.6
172879,Delhi,38,Poor,252,PM10,2022,2022-02-18,Winter,19.1,61.6,13.0
172957,Mumbai,18,Moderate,111,"PM10, PM2.5",2022,2022-02-18,Winter,25.1,61.2,13.1
172967,Lucknow,6,Moderate,134,"PM10, PM2.5",2022,2022-02-18,Winter,18.6,68.9,14.8
173046,Lucknow,6,Moderate,128,"PM10, PM2.5",2022,2022-02-19,Winter,20.3,60.6,18.4
173077,Mumbai,17,Moderate,143,"PM10, PM2.5",2022,2022-02-19,Winter,25.8,59.8,15.4
